列1,列2,列3
1049,crucial,重要な，決定的な
1050,creative,創造的な
1051,realize,だとわかる，実現する
1052,physics,物理学
1053,invest,に投資する
1054,satisfaction,満足
1055,dust,ほこり
1056,possible,可能な
1057,tremendous,非常に大きな
1058,typically,典型的に
1059,awareness,気づき
1060,quite,かなり
1061,committee,委員会
1062,dependent,依存している
1063,especially,特に
1064,deputy,代理
1065,extent,程度，大きさ
1066,subject,教科，主題
1067,horror,恐怖
1068,salary,給与
1069,grand,壮大な
1070,guide,案内人／案内する
1071,vessel,容器
1072,cooperation,協力
1073,interfere,に干渉する
1074,recall,呼び戻す，思い出す
1075,patience,辛抱強さ
1076,venture,冒険的事業
1077,annual,毎年の
1078,fair,公平な
1079,bill,請求書
1080,behind,背後に
1081,suppose,だと思う，と仮定する
1082,provision,供給，支給
1083,depend,依存する
1084,myth,神話
1085,sink,沈む
1086,pregnant,妊娠している
1087,derive,を引き出す
1088,practically,実質的に，実用的に
1089,elaborate,手の込んだ
1090,refugee,難民
1091,motive,動機
1092,ally,と同盟する
1093,minimum,最小の
1094,attorney,弁護士，代理人
1095,commissioner,委員，理事
1096,clue,手がかり，糸口
1097,minister,大臣，牧師
1098,arrival,到着
1099,technical,技術上の，専門的な
1100,similarity,類似点，相似
1101,fully,十分に，完全に
1102,nowhere,どこにも
1103,hunger,飢え，空腹
1104,pretend,のふりをする
1105,perception,知覚
1106,rape,強姦する
1107,lie,横たわる
1108,tongue,言葉，舌
1109,success,成功
1110,candidate,候補者，志願者
1111,hate,ひどく嫌う
1112,notice,気づく／通知
1113,mystery,神秘的な／神秘
1114,dignity,威厳，尊厳
1115,senate,上院
1116,contemporary,現在の，現代の
1117,previous,前の
1118,fiber,繊維
1119,oppose,反対する
1120,creation,創造
1121,Jewish,ユダヤ人
1122,reputation,評判
1123,rude,失礼な
1124,ritual,儀式
1125,historical,歴史上の
1126,opposition,反対，対立
1127,structure,構造，建造物
1128,percentage,割合
1129,enter,入る
1130,install,導入する
1131,tip,先
1132,use up,使い切る
1133,state,状態
1134,adjust,を調節する
1135,physician,医師，内科医
1136,labor,労働，労働者
1137,international,国際的な
1138,strongly,強く，激しく
1139,arms,武器
1140,household,家族，世帯
1141,nation,国家
1142,jury,陪審員
1143,former,前の
1144,illegal,違法の
1145,circumstance,状況，環境
1146,wan,青ざめた
1147,spoil,台無しにする，損なう
1148,composition,構成，制作
1149,tail,尾
1150,majority,大多数
1151,beside,の横に
1152,operation,操作，作用
1153,talent,才能
1154,pleasant,楽しい
1155,era,時代
1156,ultimate,究極の，最後の
1157,telescope,望遠鏡
1158,originate,始まる，起こす
1159,delight,喜び，歓喜
1160,whenever,する時はいつでも
1161,operate,操作する
1162,consistent,一貫した，矛盾のない
1163,exhaust,疲れ果てさせる，消耗させる
1164,twin,ふたご
1165,fix,固定する
1166,enhance,強調する，(さらに)高める
1167,defendant,被告人
1168,negotiation,交渉，話し合い
1169,face,直面する／顔
1170,immediate,即座の
1171,instant,瞬間，瞬時
1172,bloody,血の
1173,gear,伝動装置
1174,block,を妨げる
1175,unless,でない限り
1176,willing,いとわない，快諾する
1177,negotiate,交渉する
1178,doubt,疑い，疑問
1179,afford,余裕がある
1180,wage,賃金
1181,abortion,中絶
1182,strange,奇妙な，異常な
1183,estate,財産
1184,addition,追加
1185,smart,頭の良い，きちんとした
1186,bind,縛りつける，束ねる
1187,shed,流す
1188,citizen,市民，国民
1189,summit,頂上
1190,battery,電池
1191,complexity,複雑さ
1192,reduction,削減，減少
1193,disaster,災害，災難
1194,comfort,快適さ／慰める
1195,founder,創設者
1196,assault,暴行，攻撃
1197,broadcast,放送する
1198,critic,批評家，評論家
1199,friendly,友好的な，親切な
1200,consequently,その結果として
1201,unable,できない
1202,urban,都会の
1203,detailed,詳細の
1204,primitive,原始的な
1205,electrical,電気の，電気を用いた
1206,afraid,心配して，恐れて
1207,community,共同社会
1208,connect,つなげる
1209,scheme,計画，案
1210,language,言語
1211,colleague,同僚，仲間
1212,stroke,打撃
1213,servant,使用人，召使
1214,belief,信念
1215,inflation,膨張
1216,Muslim,イスラム教徒
1217,upset,気持ちが動揺した，ひっくり返す
1218,inquiry,問い合わせ，質問
1219,apply,適用する
1220,failure,失敗
1221,seed,種子
1222,potentially,潜在的に
1223,cultivate,耕作する
1224,awful,ひどい，恐ろしい
1225,mate,友達，仲間
1226,military,軍隊の
1227,armed,武装した
1228,lung,肺
1229,sequence,連続
1230,impress,感銘を与える
1231,Mexican,メキシコの
1232,suffering,苦しみ
1233,refrain from,を控える，を遠慮する
1234,well-known,よく知られた，有名な
1235,associate,結びつけて考える，賛同する
1236,lord,領主，支配者
1237,governor,知事
1238,permanent,永久の
1239,bishop,司教
1240,background,背景
1241,beg,懇願する
1242,relevant,関連のある，適切な
1243,recognition,認識
1244,sharp,鋭い
1245,legal,法律の
1246,criticize,を批評する
1247,naked,裸の
1248,symptom,症状
1249,raw,生の
1250,association,協会，連合
1251,phase,段階
1252,politics,政治
1253,atmosphere,雰囲気
1254,lap,ひざ
1255,clerk,事務員，社員
1256,fault,欠点，短所
1257,toward,向かって，のほうへ
1258,foreign,外国の
1259,global,地球の
1260,hire,雇う
1261,item,項目，品目
1262,dislike,嫌がる，嫌い
1263,unknown,未知の
1264,nearby,近くの
1265,traditional,伝統的な
1266,liberty,自由，独立
1267,toe,つま先，足の指
1268,log,丸太
1269,appoint,任命する，指定する
1270,courage,勇気
1271,quarter,四半期
1272,affair,事柄
1273,snap,パチンと鳴らす
1274,tale,お話
1275,educational,教育の
1276,hardly,ほとんどない
1277,conclusion,結論
1278,whereas,である一方で
1279,custom,習慣
1280,biological,生物学上の
1281,confine,制限する
1282,beneath,の下に
1283,extinction,絶滅
1284,tiny,ごく小さい
1285,election,選挙
1286,charm,魅力
1287,palm,手のひら
1288,mean,を意味する
1289,advertise,宣伝する，広告する
1290,advertising,広告
1291,factor,要因
1292,curious,好奇心が強い
1293,pitch,投げる
1294,excessive,過度の，極端な
1295,war,戦争
1296,apparently,明らかに
1297,boundary,境界
1298,procedure,手続き，手順
1299,consumer,消費者
1300,satisfactory,満足のいく
1301,echo,こだま
1302,essay,論文，小説
1303,extension,拡張，延長
1304,atomic,原子の
1305,sigh,ため息をつく
1306,sophisticated,洗練された
1307,considerable,かなりの，重要な
1308,explain,を説明する
1309,bet,賭ける
1310,plant,植物
1311,scatter,まき散らす
1312,admire,を賞賛する
1313,largely,主として
1314,rear,後部の
1315,bond,拘束，束縛
1316,authority,権威，権力
1317,medium,中間の
1318,adapt,に適合させる
1319,resist,抵抗する
1320,folk,人々
1321,poet,詩人
1322,resolve,解決する，を決心する
1323,detail,詳細
1324,priority,優先度，優先権
1325,`false,誤った
1326,prisoner,囚人
1327,apparent,外見上の，明白な
1328,lab,研究室
1329,squeeze,絞る，押しつぶす
1330,status,状態，身分
1331,pension,年金
1332,unique,他に類を見ない，唯一の
1333,eliminate,を取り除く
1334,patch,当て布，布切れ
1335,observation,観察
1336,dozen,12の
1337,airline,航空会社
1338,flow,流れる
1339,independent,独立した
1340,president,社長，大統領
1341,socially,社会的に
1342,settle,決着させる，解決する
1343,ideal,理想
1344,address,住所
1345,pray,祈る
1346,ray,光線，放射線
1347,maker,製造元
1348,combat,戦闘
1349,ministry,省庁
1350,explosion,爆発
1351,cure,治療する
1352,public,公共の
1353,reach,到着する
1354,impact,影響，衝撃
1355,union,統合，一致
1356,author,著者
1357,thick,厚い
1358,presence,存在
1359,incorporate,合体させる
1360,rent,家賃
1361,radical,急進的な，抜本的な
1362,economics,経済学
1363,trust,信頼，信用
1364,virus,ウイルス
1365,party,政党
1366,pupil,生徒
1367,quit,やめる
1368,unusual,珍しい，異常な
1369,meal,食事
1370,neighbor,隣人
1371,civil,市民の
1372,counter,に対抗する
1373,suicide,自殺
1374,protein,タンパク質
1375,poll,投票
1376,mutual,相互の
1377,vote,投票する／投票権
1378,attend,出席する，付き添う
1379,regret,後悔する／後悔，遺憾
1380,academic,学術の，大学の
1381,supreme,最高の
1382,comfortable,心地の良い，快適な
1383,involvement,関与，関わり合い
1384,crowd,群衆
1385,emotional,感情の，情緒の
1386,revenue,収益，所得
1387,neighborhood,近所
1388,concern,心配する，に関係する
1389,remember,覚えている，を思い出す
1390,guilty,有罪の
1391,fascinate,魅了する
1392,trigger,引き金
1393,distinction,区別，相違
1394,transform,を変える
1395,transfer,を移す
1396,order,命令
1397,hide,隠す，隠れる
1398,solid,固い，固形の
1399,plain,簡素な，わかりやすい
1400,ease,容易さ，気楽さ
1401,stretch,広がる
1402,amendment,修正
1403,frighten,怖がらせる
1404,heel,かかと
1405,perceive,知覚する
1406,rational,理性的な，合理的な
1407,faith,信頼，信用
1408,conviction,信念
1409,agent,代理人
1410,rural,田舎の
1411,pioneer,開拓者
1412,humanity,人間，人間性
1413,within,以内で
1414,respect,尊敬
1415,sweep,掃く
1416,display,展示する，陳列する
1417,own,自身の
1418,disappoint,がっかりさせる
1419,hang,つるす，掛ける
1420,transition,遷移，変遷
1421,decision,決定，結論
1422,aware,気づいている，知っている
1423,reward,褒美，報酬
1424,uncomfortable,心地の悪い
1425,civilized,発達した文明をもつ，教養の高い
1426,aggressive,攻撃的な
1427,infant,乳児
1428,means,手段，方法
1429,useless,役に立たない，むだな
1430,briefly,簡単に，手短に
1431,site,場所
1432,nature,自然
1433,dialect,方言
1434,genius,天才
1435,conduct,行為
1436,insect,昆虫
1437,demonstrate,実証する，証明する
1438,painful,苦痛な，痛い
1439,circuit,回路，巡回
1440,regime,政権
1441,awake,目を覚ましている
1442,useful,役に立つ
1443,entertainment,娯楽
1444,express,表現する，を言い表す
1445,sacrifice,犠牲
1446,devise,考え出す，工夫する
1447,intimate,親密な
1448,seldom,めったに～しない
1449,criticism,批判
1450,price,値段
1451,invisible,見えない
1452,present,現在の，出席して
1453,somehow,どうにか
1454,agreement,同意
1455,although,だけれども
1456,advocate,提唱する
1457,increasingly,ますます
1458,govern,統治する
1459,electronic,電子の
1460,necessarily,必然的に
1461,severe,厳しい，厳格な
1462,convenient,都合がよい，便利な
1463,due,期限の，納期の
1464,coast,海岸，沿岸地域
1465,extreme,極端な
1466,relief,安堵，軽減
1467,edge,端，縁
1468,vice,副担当の，代理の
1469,national,国の，国民の
1470,vulnerable,傷つきやすい
1471,evolution,進化，発展
1472,slight,かすかな，わずかの
1473,rely,頼る
1474,globe,地球
1475,constitution,憲法，構成，組織
1476,prompt,即座の
1477,restriction,制限
1478,rapid,急速な
1479,inspector,検査官，監査人
1480,essentially,本質的に
1481,select,を選び出す
1482,carbon,炭素
1483,sudden,突然の
1484,deliberately,故意に，慎重に
1485,significant,重要な
1486,employ,雇う
1487,latest,最新の
1488,tough,頑強な，丈夫な
1489,tide,潮
1490,asset,資産
1491,origin,起源
1492,popular,人気のある
1493,colony,植民地
1494,distribution,分布，配分
1495,plot,話の筋，策略
1496,mortgage,抵当，担保
1497,drug,麻薬，薬
1498,possibly,ひょっとすると
1499,advice,助言
1500,industrialize,産業化する
1501,complain,不満を言う
1502,county,州
1503,supporter,支援者
1504,federal,連邦の
1505,fur,毛皮
1506,commercial,商業の
1507,aggression,攻撃性，侵略
1508,entire,全体の，全部の
1509,silly,馬鹿な，愚かな
1510,brick,れんが
1511,basis,土台，根拠
1512,protect,を守る、保護する
1513,confirm,確認する，確かめる
1514,broad,広い
1515,prior,優先の，前の
1516,consequence,結果，影響
1517,pretty,かなり
1518,manufacturer,製造元，製造業者
1519,exhibition,展示
1520,cruise,巡航する
1521,extraordinary,普通でない，異常な
1522,leisure,余暇
1523,multiple,掛け算する
1524,variation,変化
1525,suit,適合する
1526,teenager,十代
1527,bare,裸の
1528,minority,少数派
1529,rapidly,素早く
1530,odd,変な
1531,lawn,芝生
1532,consist,成り立つ
1533,duty,職務，関税
1534,period,期間
1535,comprehensive,包括的な，理解力のある
1536,achievement,達成
1537,sum,合計
1538,seem,の様に見える，思われる
1539,implement,実施する／道具，手段
1540,interior,内部の
1541,calculate,計算する
1542,dominate,を支配する
1543,obligation,義務
1544,joy,喜び，歓喜
1545,throat,のど
1546,imagination,想像
1547,democrat,民主主義者
1548,chapter,章，区切り
1549,hell,地獄
1550,lean,傾く，寄りかかる
1551,pan,フライパン
1552,blast,爆風，突風
1553,exist,存在する，実在する
1554,politician,政治家
1555,industrial,産業の
1556,merchant,商人
1557,assembly,集合
1558,focus,焦点
1559,actual,現実の
1560,universe,宇宙
1561,nerve,神経
1562,mostly,主に，ほとんど
1563,criminal,犯罪の
1564,passage,一節
1565,logic,論理
1566,arise,起こる，現れる
1567,whatever,なんでも
1568,rebel,反逆者
1569,encounter,遭遇する
1570,depress,落胆させる
1571,widely,広範囲に
1572,expansion,拡張，拡大
1573,existence,存在
1574,peculiar,奇妙な，変わった
1575,strict,厳しい，厳格な
1576,firm,しっかりした，堅い
1577,desperate,やけくその
1578,sort,種類
1579,personally,個人的に，本人自ら
1580,urge,強く促す，早める
1581,blood,血，血液
1582,institution,制度，設立
1583,facility,施設，手洗い，便利さ
1584,crew,乗組員
1585,index,索引
1586,unpleasant,不愉快な
1587,etc,等々
1588,elementary,初級の
1589,viewer,観察者，視聴者
1590,spiritual,精神の
1591,conference,会議
1592,freeze,凍る
1593,debate,討論
1594,swallow,を飲み込む
1595,convey,伝える，運ぶ
1596,honor,名誉，特権
1597,traffic jam,交通渋滞
1598,concrete,具体的な
1599,laboratory,実験室，研究所
1600,capable,可能性がある，才能のある
1601,treasure,宝，財産
1602,reserve,を取っておく
1603,phenomenon,現象
1604,chest,たんす，チェスト
1605,bite,を噛む，かじる
1606,proper,適切な，ふさわしい
1607,rub,こする，さする
1608,shortly,まもなく
1609,term,期間，専門用語
1610,psychological,心理的な
1611,right,正しい
1612,inclined,傾いた，(し)がちで
1613,attract,引きつける
1614,headquarters,本部
1615,highlight,目立たせる，最も明るい部分
1616,owe,を借りている
1617,accustomed,慣れている，いつもの
1618,portion,部分，一部分
1619,mad,狂った
1620,buyer,買い手
1621,till,まで
1622,destruction,破壊
1623,injury,怪我，負傷
1624,confusion,混乱
1625,employer,雇用者
1626,crop,収穫物，作物
1627,nervous,神経質な，びくびくして
1628,companion,仲間
1629,distance,距離
1630,impression,印象
1631,confront,直面させる，に立ち向かう
1632,path,小道
1633,suppress,抑える，抑圧する
1634,decline,断る，拒否する
1635,truth,真実
1636,intellectual,知的な
1637,jail,刑務所，拘置所
1638,cease,やめる
1639,pile,積み重ね
1640,cover,を覆う，隠す
1641,finance,財政
1642,cast,投げる
1643,distinct,他と違った，別の
1644,conservation,保全
1645,prosecutor,検察官
1646,task,仕事
1647,initially,最初は
1648,behalf,代わって，誰かの代わりに
1649,region,地域
1650,prefer,より好む
1651,perspective,見解，見通し
1652,income,所得
1653,identical,同一の，全く同じの
1654,impressive,印象的な
1655,polite,礼儀正しい
1656,executive,実行する
1657,rough,ごつごつした，粗い
1658,proposed,提案した
1659,province,州
1660,personality,人格，性格
1661,stake,くい
1662,goal,目標，ゴール
1663,girlfriend,女友達
1664,forward,前方へ
1665,narrow,幅が狭い
1666,divorce,離婚／離婚する
1667,apart,離れて
1668,emphasis,強調
1669,shooting,撮影，射撃
1670,inhabitant,居住者
1671,recession,不況，後退
1672,passive,受身の，消極的な
1673,subtle,微妙な
1674,competitive,競争力のある，競争による
1675,clothing,衣料品
1676,wise,賢い
1677,pursuit,追跡
1678,settlement,移住，定住
1679,seize,つかむ
1680,partnership,共同，提携
1681,expression,表現
1682,dispute,争議／論争する
1683,contrary,反対の
1684,expand,拡大する，広がる
1685,intelligence,知能，知性
1686,shortage,不足，欠乏
1687,compound,調合する
1688,defeat,負かす，打ち破る
1689,assumption,想定，仮説
1690,sustain,保持する，続けてする
1691,initiative,主導権，独創力
1692,bow,お辞儀する
1693,examination,試験
1694,confidence,自信，信頼
1695,yield,産出する，生ずる
1696,firmly,堅く，確固として
1697,engaged,に従事して，忙しくして
1698,impulse,衝動
1699,destroy,を破壊する
1700,steady,着実な，安定した
1701,element,要素，元素
1702,dealer,販売業者
1703,mysterious,不可解な，不思議な
1704,comparison,比較
1705,communist,共産主義者
1706,republic,共和国
1707,expose,明らかにする
1708,department,部門
1709,explanation,説明
1710,isolate,を孤立させる，隔離する
1711,proceed,進む，始める
1712,explore,探索する，調査する
1713,regarding,に関して
1714,stupid,馬鹿な，愚かな
1715,alive,生きている
1716,dramatic,劇的な
1717,potential,潜在的な
1718,approval,承認
1719,dare,思い切ってする
1720,activist,行動主義者
1721,effectively,効果的に，事実上
1722,strain,張る
1723,shame,恥
1724,cash,現金
1725,asleep,眠っている
1726,mass,塊，大部分
1727,latter,後者の，後半の
1728,absolutely,絶対に
1729,intention,意図
1730,science,科学
1731,split,割る，裂く
1732,diminish,減らす，小さくする
1733,positive,自信のある
1734,remote,遠い
1735,collect,集める
1736,equivalent,等しい
1737,bear,我慢する，を圧迫する
1738,empire,帝国
1739,several,幾つかの
1740,navy,海軍
1741,significance,重要性
1742,practical,実用的な
1743,guess,推測する
1744,agriculture,農業
1745,leap,跳ぶ，はねる
1746,empty,何も入っていない
1747,insight,洞察，洞察力
1748,verbal,言葉の
1749,unit,単位
1750,evil,邪悪な
1751,newly,新たに，最近
1752,automobile,自動車
1753,university,大学
1754,publication,出版物
1755,past,過去の，終わった
1756,contrast,対照
1757,immigrant,移民
1758,lack,不足，欠乏
1759,brief,短い，短時間の
1760,cop,警官
1761,eager,強く望んでいる
1762,crown,王冠
1763,observer,観察者
1764,nod,うなずく，会釈する
1765,investment,投資，出資
1766,scientific,科学の
1767,constitute,構成する
1768,moral,道徳の，道徳的な
1769,voter,投票者
1770,remarkable,目立った
1771,mere,単なる
1772,belong,に属する
1773,pursue,追い求める，追跡する
1774,totally,完全に，全く
1775,patient,我慢強い，患者
1776,match,試合
1777,weather,天候，天気
1778,survival,生存
1779,fellow,仲間
1780,towards,の方へ
1781,aircraft,航空機
1782,legislation,立法
1783,wherever,どこでも
1784,tax,税金
1785,nuclear,核の
1786,internal,内部の
1787,enterprise,会社，事業
1788,initial,当初の
1789,division,分割
1790,parallel,平行の
1791,preference,好み
1792,consideration,考慮，考察
1793,expectation,期待，予想
1794,literally,文字通りに
1795,grave,墓
1796,laughter,笑い
1797,found,設立する
1798,terror,恐怖
1799,suitable,適した，好都合な
1800,reference,参照
1801,fabric,織物
1802,length,長さ
1803,deny,を否定する
1804,satellite,衛星
1805,steadily,着実に
1806,fundamental,基本的な，基礎の
1807,strategy,戦略
1808,virtually,実質的に
1809,partly,部分的に
1810,profession,職業
1811,undergo,経験する
1812,congress,会議
1813,given,与えられた
1814,traffic,交通，運輸
1815,mainly,主に，もっぱら
1816,cave,ほら穴
1817,fancy,空想，想像
1818,wisdom,知恵，賢明さ
1819,blink,瞬きをする
1820,scholar,学者
1821,rid,を取り除く
1822,privilege,特権
1823,method,方法
1824,establishment,設立
1825,shrug,肩をすくめる
1826,aloud,声に出して
1827,continue,をし続ける
1828,master,主人，支配人
1829,rating,評価
1830,extra,余分の，特別の
1831,flee,逃げる
1832,administration,機関，運営
1833,die,死ぬ
1834,throughout,至るところに，終始
1835,shit,大便
1836,tradition,伝統
1837,typical,典型的な
1838,weigh,重さがある，の重さを量る
1839,unlikely,起こりそうにない
1840,weight,重さ，体重
1841,normally,通常は，普通に
1842,retain,保持する，持ち続ける
1843,overwhelming,圧倒的な
1844,promotion,昇進，進級
1845,massive,巨大な，大規模な
1846,desirable,望ましい
1847,stare,じっと見つめる
1848,application,適用
1849,grasp,つかむ
1850,fat,太った
1851,gene,遺伝子
1852,contract,契約
1853,discuss,について議論する，検討する
1854,court,裁判所，中庭
1855,analysis,分析
1856,generate,発生させる，起こす
1857,regardless,にも関わらず，不注意で
1858,fire,首にする，火をつける／火，火事
1859,entitle,と題する，権利を与える
1860,bury,埋める
1861,pit,くぼみ
1862,critical,極めて重要な，批判的な
1863,crisis,危機，難局
1864,flood,洪水
1865,wildlife,野生動物
1866,wrong,間違い，誤った
1867,wear,身につけている
1868,earn,稼ぐ
1869,import,輸入する
1870,retirement,退職，引退
1871,stream,流れ
1872,species,種，種族
1873,recovery,回復
1874,coalition,連立，連合
1875,acquaintance,知人
1876,peer,同僚，仲間
1877,alter,を変える
1878,absolute,絶対的な，完全な
1879,secretary,秘書
1880,deserve,値する
1881,contribute,に寄付する，捧げる
1882,implication,含み，裏の意味
1883,calm,穏やかな，静かな
1884,constantly,常に
1885,famous,有名な
1886,precisely,正確に
1887,parking,駐車場
1888,ad,広告
1889,commander,司令官
1890,rise,上がる
1891,gain,得る
1892,proud,自慢に思って，誇らしげな
1893,lose,失う
1894,editor,編集者
1895,killer,殺人者
1896,material,材料，原料
1897,breast,胸部
1898,appetite,食欲
1899,flavor,風味，味
1900,aim,ねらいをつける
1901,preparation,準備
1902,investigation,調査
1903,storage,保管
1904,investor,投資家
1905,whole,全部の
1906,regulation,規制，規定
1907,existing,既存の
1908,fate,運命，宿命
1909,accuse,告発する
1910,object,物体
1911,cope,対処する
1912,racial,人種の，民族の
1913,judge,を判断する／裁判官
1914,disagree,反対する
1915,release,解き放つ
1916,literary,文学の
1917,maybe,たぶん，おそらく
1918,alliance,同盟，協定
1919,thought,考えること，意見
1920,comedy,喜劇
1921,reply,返答する
1922,gay,同性愛の
1923,definite,明確な，限定的な
1924,attempt,試み
1925,commission,手数料，委任状
1926,except,を除いて
1927,height,高さ
1928,favorite,特に好きな
1929,harmful,有害な
1930,terrible,ひどい，恐ろしい
1931,dull,面白みのない，鈍い
1932,context,文脈
1933,fold,折りたたむ
1934,suggestion,提案
1935,steam,蒸気，水蒸気
1936,extensive,広範な
1937,mayor,市長，町長
1938,funding,資金調達
1939,operator,操作者
1940,universal,普遍的な，万能の
1941,exposure,暴露，さらすこと
1942,pose,姿勢，ポーズ
1943,headline,見出し，表題
1944,bang,ドンドン叩く／ズドンという音
1945,likely,起こりそうな
1946,necessity,必要性
1947,financial,財政の
1948,resistance,抵抗
1949,grammar,文法
1950,capital,資本，首都
1951,intend,意図する
1952,alike,よく似た
1953,peak,頂上
1954,educate,教育する，訓練する
1955,closely,綿密に
1956,exactly,正確に
1957,moment,瞬間，瞬時
1958,extend,延びる，延長する
1959,employee,従業員
1960,remaining,残りの
1961,negative,否定の
1962,burst,破裂する
1963,portrait,肖像画
1964,possibility,可能性，実現性
1965,absence,不在，欠席
1966,primary,最初の
1967,inferior,劣った
1968,interpretation,解釈，説明
1969,evident,明らかな
1970,tribe,部族
1971,maintenance,持続，保全
1972,passenger,乗客
1973,profound,深い，心からの
1974,significantly,かなり
1975,agree,同意する
1976,assure,保証する
1977,dump,投げ捨てる
1978,difference,違い，差分
1979,coal,石炭
1980,drain,排出させる，排水をする
1981,acknowledge,を認める
1982,suspect,疑う，だと思う
1983,gaze,凝視する
1984,sure,確信して，自信をもって
1985,steel,鋼鉄
1986,exclude,除く
1987,surgery,手術，外科
1988,add,足し算する，合計する
1989,load,積む／積み荷
1990,inevitable,避けられない
1991,female,雌の，女性の
1992,depending,依存している
1993,so-called,いわゆる
1994,accept,受け入れる
1995,enthusiasm,情熱，熱狂
1996,joint,継目，関節
1997,assessment,評価，査定
1998,evolve,進化する
1999,occupy,占める
2000,mention,言及する
